urls,title,brand,price,price_old,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.kruidvat.nl/a/1722/bolletje-pepsels-2-voor-1.00,bolletje  Snacks & Snoep ,bolletje ,,,,Snacks & Snoep ,Snacks & Snoep ,,,,,,bolletje pepsels 2 voor 1.00 
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/a/1172/vanish-vlekverwijderaar-3-voor-8.00,vanish  Vlekkenverwijderaars ,vanish ,,,,Wassen & Schoonmaken ,Vlekkenverwijderaars ,,,,,,vanish vlekverwijderaar 3 voor 8.00 
https://www.kruidvat.nl/a/1174/robijn-wasverzachter-750-ml-3-voor-5.00,robijn  Wasverzachter ,robijn ,,,,Wassen & Schoonmaken ,Wasverzachter ,,,,,,robijn wasverzachter 3 voor 5.00 
https://www.kruidvat.nl/search,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/mosquitx/p/4149349,Mosquitx,,9.99,,,Gereedschap,Gereedschap,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/,,,,,,,,,,,,,
https://www.kruidvat.nl/lebara-prepaid-simpakket/p/3287845,Lebara Prepaid Simpakket,,4.99,,,Telefonie,,,,,,,
https://www.kruidvat.nl/trust-universele-711-tablethouder-voor-in-de-auto/p/3132235,Trust Universele 7–11'' Tablethouder voor in de Auto,,6.99,,,Tablets & Computers,Tablets & Computers,,,,,,
https://www.kruidvat.nl/denver-taq-10172-10-tablet-pc/p/3717386,Denver TAQ-10172 10'' Tablet PC,,59.99,,40%,Tablets & Computers,Tablets & Computers,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2653/gratis-ariel-3-in-1-pods,,,,,,,,,,,,,
https://www.kruidvat.nl/tontarelli-bewaarboxen/p/4130351,Tontarelli BewaarboxenDiverse maten,,3.99,,50%,Woonaccessoires,Woonaccessoires,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/tontarelli-hobbybox/p/4130372,Tontarelli Hobbybox28cm x 24cm x1 8cm,,4.79,,52%,Woonaccessoires,Woonaccessoires,,,,,,
https://www.kruidvat.nl/playing-kids-familiezwembad-l/p/3677808,"Playing Kids Familiezwembad Lblauw, 211cm x 132cm x 46cm",,9.99,,50%,Opblaasartikelen,Opblaasartikelen,,,,,,
https://www.kruidvat.nl/playing-kids-familiezwembad-overtrek-l/p/3677885,Playing Kids Familiezwembad Overtrek Lblauw,,4.99,,50%,Opblaasartikelen,Opblaasartikelen,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/fotoservice,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
-,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/beauty-essentials-3-luik-reisspiegel/p/4112046,Beauty Essentials 3-luik Reisspiegel,,2.99,,,Make-up accessoires,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2090/anni-rolfi-microfiber-ondergoed,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2091/bestseller-2-voor-7.50,overig  Media ,overig ,,,,Media ,Media ,,,,,,bestseller 2 voor 7.50 
https://www.kruidvat.nl/a/2600/syoss-2e-voor-1.00,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/treinkaartjes,,,,,,,,,,,,,
